iter	Passed	Remaining
412	2426	3448
413	2428	3437
414	2433	3430
415	2437	3421
416	2439	3411
417	2441	3399
418	2444	3389
419	2451	3384
420	2454	3375
421	2458	3366
422	2468	3366
423	2470	3356
424	2474	3347
425	2481	3343
426	2483	3333
427	2485	3321
428	2487	3311
429	2489	3300
430	2495	3294
431	2499	3286
432	2502	3277
433	2504	3266
434	2515	3267
435	2521	3261
436	2529	3258
437	2534	3251
438	2538	3243
439	2545	3239
440	2553	3237
441	2555	3226
442	2559	3217
443	2562	3208
444	2569	3204
445	2577	3202
446	2583	3196
447	2586	3187
448	2597	3188
449	2600	3177
450	2605	3171
451	2608	3162
452	2613	3155
453	2616	3147
454	2620	3139
455	2623	3130
456	2629	3124
457	2635	3119
458	2639	3110
459	2641	3100
460	2643	3091
461	2649	3085
462	2652	3076
463	2655	3067
464	2658	3058
465	2660	3048
466	2662	3038
467	2664	3029
468	2667	3019
469	2673	3014
470	2678	3008
471	2681	2999
472	2683	2990
473	2689	2984
474	2691	2974
475	2698	2970
476	2700	2960
477	2712	2961
478	2716	2954
479	2724	2951
480	2728	2943
481	2731	2935
482	2734	2927
483	2740	2922
484	2743	2912
485	2744	2903
486	2748	2894
487	2752	2887
488	2757	2881
489	2759	2871
490	2761	2862
491	2766	2856
492	2772	2850
493	2775	2842
494	2786	2842
495	2789	2834
496	2792	2826
497	2798	2821
498	2804	2815
499	2813	2813
500	2818	2807
501	2820	2798
502	2833	2799
503	2838	2793
504	2852	2795
505	2867	2799
506	2874	2795
507	2878	2787
508	2884	2782
509	2886	2773
510	2891	2766
511	2899	2763
512	2904	2757
513	2910	2751
514	2913	2743
515	2923	2742
516	2926	2733
517	2928	2725
518	2940	2724
519	2942	2716
520	2946	2709
521	2964	2714
522	2979	2717
523	2981	2708
524	2993	2708
525	2997	2701
526	3005	2697
527	3008	2689
528	3013	2683
529	3020	2678
530	3022	2669
531	3024	2660
532	3034	2658
533	3036	2650
534	3039	2641
535	3041	2632
536	3049	2629
537	3054	2622
538	3056	2614
539	3069	2614
540	3072	2606
541	3083	2605
542	3093	2603
543	3112	2609
544	3121	2605
545	3145	2615
